OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUse(kWh),SiteEnergyUseWN(kBtu),SiteEnergyUseWN(kWh),SteamUse(kBtu),SteamUse(kWh),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),NaturalGas(kWh),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
15,2016,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,98101.0,7,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,153163,19279,Hotel,Hotel,133884.0,,,,,,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,54651057,16646930.0,56801682,5237165.5,17869950,1813489,6187627.0,45918.5,4591850.0,15668042,False,,Compliant,,691.26,4.51
16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,98101.0,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,333176,61161,Hotel,Hotel,336640.0,,,,,,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,91926882,27070114.0,92367062,5999360.5,20470667,5299838,18083049.0,28586.99805,2858700.0,9754289,False,,Compliant,,740.97,2.22
17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,98104.0,7,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,65009,0,Hotel,Hotel,65009.0,,,,,,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,22506682,6358719.5,21696851,1656352.5,5651709,393610,1343000.0,35967.05078,3596705.0,12272466,False,,Compliant,,328.23,5.05
18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,98101.0,7,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,315952,57600,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,76177303,22524948.0,76858312,4337738.5,14800977,4075083,13904183.0,40834.39844,4083440.0,13933275,False,,Compliant,,648.62,2.05
19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,98101.0,7,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,92190,25200,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,,35.0,159.5,165.8999939,297.3999939,303.8999939,10750010.0,36680556,11179203.0,38145023,4870847.5,16620021,1123203,3832369.0,20467.93359,2046793.0,6983947,False,,Compliant,,511.39,5.55
21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,98154.0,7,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,412000,57000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,,50.79999924,51.09999847,155.6000061,156.0,18588860.0,63427822,18706912.0,63830632,737559.5,2516657,5231916,17851297.0,0.0,0.0,0,False,,Compliant,,181.38,0.44
22,2016,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,98104.0,7,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,103911,0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,33972632,10192124.0,34776970,4592347.5,15669739,1305354,4453868.0,9101.799805,910180.0,3105663,False,,Compliant,,433.86,4.18
23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,98104.0,7,DOWNTOWN,47.60681,-122.33078,1983,1.0,28,416281,85000,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756.0,114500403,34351920.0,117213615,0.0,0,6220773,21225277.0,123314.75,12331475.0,42076738,False,,Compliant,,802.89,1.93
24,2016,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,98104.0,7,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,57452,0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,,132.3999939,137.1000061,280.7000122,285.0,7606084.5,25953037,7877219.0,26878186,1776201.875,6060652,1103397,3764791.0,20650.91211,2065091.0,7046382,False,,Compliant,,273.02,4.75
25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,98104.0,7,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,104352,0,Hotel,Hotel,104352.0,,,,,,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,34648960,10154608.0,34648960,3430862.0,11706586,1731644,5908370.0,8153.759766,815376.0,2782178,False,,Compliant,,349.32,3.35
26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,98104.0,7,DOWNTOWN,47.60265,-122.33051,1916,1.0,10,540360,0,Courthouse,Courthouse,537150.0,,,,,,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468.0,153493374,47023088.0,160449434,0.0,0,7138872,24357833.0,206266.3125,20626631.0,70380985,False,,Compliant,,1265.29,2.34
27,2016,NonResidential,Other,King County Correctional Facility,500 5TH AVE,98104.0,3,DOWNTOWN,47.60378,-122.32842,1985,1.0,19,385274,0,Other,Other,385274.0,,,,,,,124.1999969,128.6000061,229.5,232.8999939,47859812.0,163304455,49539212.0,169034806,0.0,0,5351014,18257661.0,296021.5,29602150.0,101006727,False,,Compliant,,1699.45,4.41
28,2016,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,98118.0,2,SOUTHEAST,47.54576,-122.26853,1961,1.0,2,56228,0,K-12 School,K-12 School,58916.0,,,,,,95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478.5,5252918,1713623.5,5847126,0.0,0,274605,936955.0,6025.229004,602523.0,2055893,True,,Error - Correct Default Data,,38.53,0.69
29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,4,NORTHEAST,47.65959,-122.31755,2001,1.0,6,88592,30586,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,,84.0,63.20000076,63.29999924,148.0,148.5,3663534.5,12500498,3673186.75,12533433,0.0,0,664194,2266231.0,13973.03027,1397303.0,4767795,False,,Compliant,,90.01,1.02
30,2016,NonResidential,University,Main Campus Center,1000 Lenora St.,98121.0,7,DOWNTOWN,47.61816,-122.33629,1928,1.0,7,126593,0,College/University,College/University,125000.0,,,,,,,90.69999695,97.5,173.0,180.0,11343686.0,38706262,12183313.0,41571189,0.0,0,1362096,4647474.0,66962.10938,6696211.0,22848420,False,,Compliant,,388.04,3.07
31,2016,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,98101.0,7,DOWNTOWN,47.615,-122.33081,1930,1.0,2,67224,0,Automobile Dealership,Automobile Dealership,67224.0,,,,,,,19.5,19.5,61.20000076,61.20000076,1310236.625,4470712,1310236.625,4470712,0.0,0,384008,1310236.0,0.0,0.0,0,False,,Compliant,,9.13,0.14
32,2016,NonResidential,Hotel,Homewood Suites,1011 Pike ST,98101.0,7,EAST,47.61301,-122.32929,1991,1.0,8,158676,30301,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,,45.5,46.29999924,58.0,58.79999924,5328051.5,18180066,5424942.0,18510670,0.0,0,167733,572307.0,47557.44922,4755745.0,16227275,False,,Compliant,,256.57,1.62
33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,98101.0,7,DOWNTOWN,47.61784,-122.32966,2001,1.0,10,171866,38281,Hotel,Hotel,128909.0,,,,,,57.0,85.80000305,86.69999695,181.1000061,180.6000061,11061916.0,37744823,11171407.0,38118422,0.0,0,1644403,5610706.0,54512.09766,5451210.0,18600300,False,,Compliant,,328.63,1.91
35,2016,NonResidential,Hotel,Hotel Five,2200 5th ave,98121.0,7,DOWNTOWN,47.61558,-122.34186,1978,1.0,5,68410,16200,Hotel,Hotel,47994.0,,,,,,57.0,92.90000153,95.0,199.6999969,206.3000031,4456714.5,15206940,4557974.0,15552452,0.0,0,687675,2346349.0,21103.65039,2110365.0,7200864,False,,Compliant,,128.44,1.88
36,2016,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,98125.0,5,NORTH,47.70994,-122.29301,1949,1.0,2,160645,0,K-12 School,K-12 School,164229.0,,,,,,75.0,41.29999924,47.5,68.09999847,75.69999695,6779173.0,23131498,7800349.5,26615897,0.0,0,570809,1947601.0,48315.71875,4831572.0,16486007,True,,Error - Correct Default Data,,270.18,1.68
38,2016,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,98070.0,4,LAKE UNION,47.6641,-122.33118,1906,1.0,3,87262,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,,61.5,69.80000305,106.5,115.9000015,4145920.5,14146467,4703690.0,16049656,0.0,0,396495,1352843.0,27930.77148,2793077.0,9530374,False,,Compliant,,157.77,1.81
40,2016,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,98105.0,4,NORTHEAST,47.66583,-122.29965,1994,1.0,4,81871,0,Hotel,Hotel,81871.0,,,,,,29.0,81.5,82.19999695,162.5,164.8999939,6668568.5,22754099,6731281.5,22968085,0.0,0,884056,3016399.0,36521.69141,3652169.0,12461717,False,,Compliant,,215.0,2.63
41,2016,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,98105.0,4,NORTHEAST,47.66172,-122.29598,1955,1.0,2,110356,0,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,,,12.10000038,12.39999962,35.20000076,35.5,318364.8125,1086305,326223.0938,1113119,0.0,0,82434,281265.0,371.0,37100.0,126590,False,,Compliant,,3.93,0.04
43,2016,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,98108.0,2,GREATER DUWAMISH,47.53493,-122.31788,1992,1.0,3,494835,0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,,8.0,221.6999969,233.1000061,388.2000122,400.2999878,448385312.0,1529954175,471613856.0,1609213257,0.0,0,44102076,150476283.0,2979090.0,297909000.0,1016507691,False,,Compliant,,16870.98,34.09
46,2016,NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,98118.0,2,GREATER DUWAMISH,47.51138,-122.28875,1961,3.0,2,714095,0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,,,46.40000153,45.79999924,145.8999939,143.8000031,44731160.0,152629051,44110016.0,150509620,0.0,0,13109951,44731153.0,0.0,0.0,0,False,,Compliant,,311.84,0.44
50,2016,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,98199.0,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1990,1.0,2,54986,0,K-12 School,K-12 School,54986.0,,,,,2016,97.0,30.0,32.79999924,77.80000305,83.19999695,1650279.25,5630986,1802471.375,6150287,0.0,0,356855,1217589.0,4326.897461,432690.0,1476399,False,,Compliant,,31.47,0.57
51,2016,SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,98115.0,4,NORTHEAST,47.68252,-122.29498,1950,1.0,2,175565,0,K-12 School,K-12 School,182861.0,,,,,,88.0,35.0,40.09999847,55.0,60.40000153,6399127.5,21834729,7329817.5,25010375,0.0,0,468840,1599684.0,47994.43359,4799443.0,16376379,True,,Error - Correct Default Data,,266.05,1.52
52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,98107.0,6,BALLARD,47.66587,-122.38476,1961,1.0,2,94900,0,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,,57.0,65.19999695,68.90000153,163.0,165.8999939,6186461.5,21109082,6536359.5,22302984,0.0,0,1257791,4291585.0,18948.75977,1894876.0,6465585,False,,Compliant,,130.56,1.38
53,2016,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,98144.0,2,GREATER DUWAMISH,47.58034,-122.31132,1900,1.0,2,52554,0,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,,83.0,50.09999847,53.5,108.6999969,112.3000031,2951331.25,10070360,3150635.5,10750414,0.0,0,462998,1579749.0,13715.82031,1371582.0,4680032,False,,Compliant,,83.86,1.6
54,2016,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,98103.0,6,NORTHWEST,47.68891,-122.33553,1954,1.0,3,175015,0,K-12 School,K-12 School,175015.0,,,,,,95.0,40.0,45.09999847,74.0,80.40000153,6994740.5,23867045,7886505.5,26909873,0.0,0,785386,2679739.0,43150.00781,4315001.0,14723394,False,,Compliant,,247.85,1.42
55,2016,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,98121.0,7,DOWNTOWN,47.61351,-122.35129,1911,1.0,3,70586,0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,,30.60000038,33.09999847,76.59999847,79.19999695,2158629.0,7365547,2331573.25,7955658,0.0,0,439691,1500229.0,6584.0,658400.0,2246554,False,,Compliant,,45.43,0.64
56,2016,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,98101.0,7,DOWNTOWN,47.60946,-122.33337,1969,1.0,24,332210,205970,Hotel,Hotel,348630.0,,,,,,67.0,46.40000153,46.40000153,121.8000031,121.8000031,16163194.0,55151106,16163194.0,55151106,0.0,0,3576906,12204406.0,39587.86719,3958787.0,13507941,False,,Compliant,,295.33,0.89
57,2016,NonResidential,Large Office,5th and Pine,413 Pine Street,98101.0,7,DOWNTOWN,47.6113,-122.33659,1973,1.0,5,168115,0,"Data Center, Office, Retail Store",Office,103362.0,Retail Store,65676.0,Data Center,493.0,2016,78.0,56.29999924,56.29999924,176.6000061,176.6000061,9536161.0,32538731,9536161.0,32538731,0.0,0,2794888,9536160.0,0.0,0.0,0,False,,Compliant,,66.48,0.4
58,2016,NonResidential,Other,1525 4th Avenue,1525 4th Ave,98101.0,7,DOWNTOWN,47.61076,-122.33765,1920,1.0,2,57428,0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,,,21.70000076,21.60000038,48.79999924,48.40000153,1247362.0,4256175,1239429.75,4229109,0.0,0,209536,714939.0,5324.230469,532423.0,1816702,False,,Compliant,,33.26,0.58
59,2016,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,98101.0,7,DOWNTOWN,47.61048,-122.33794,1910,1.0,8,59400,0,"Office, Retail Store",Office,34947.0,Retail Store,4993.0,,,,14.0,85.40000153,88.30000305,398.7000122,412.2000122,5071974.0,17306293,5242479.5,17888082,0.0,0,1486510,5071973.0,0.0,0.0,0,False,,Compliant,,35.36,0.6
60,2016,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,98101.0,7,DOWNTOWN,47.60886,-122.33744,1926,1.0,2,52549,0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,,,286.3999939,299.0,485.2999878,495.5,15026196.0,51271508,15683742.0,53515148,0.0,0,1357696,4632459.0,103937.3672,10393737.0,35464902,False,,Compliant,,584.31,11.12
62,2016,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,98101.0,7,DOWNTOWN,47.61233,-122.33432,1930,1.0,20,98634,10043,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,,71.0,54.59999847,57.29999924,158.6000061,167.0,4841347.5,16519363,5078816.0,17329639,0.0,0,1257344,4290059.0,5512.879883,551288.0,1881072,False,,Compliant,,59.19,0.6
63,2016,NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,98101.0,7,DOWNTOWN,47.61087,-122.33339,1982,1.0,34,994212,146694,"Hotel, Parking, Swimming Pool",Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,,63.0,80.90000153,82.80000305,182.5,184.5,80469216.0,274572359,82318072.0,280880917,11598686.0,39576359,13348631,45545529.0,233249.9219,23324992.0,79588175,False,,Compliant,,2451.58,2.47
65,2016,NonResidential,Hotel,Inn at the Market,86 Pine St,98101.0,7,DOWNTOWN,47.60997,-122.34138,1985,1.0,7,71150,0,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,,98.0,93.09999847,93.09999847,215.8999939,215.8999939,5348309.0,18249187,5348309.0,18249187,0.0,0,950732,3243900.0,21044.08008,2104408.0,7180538,False,,Compliant,,134.38,1.89
66,2016,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,98101.0,7,DOWNTOWN,47.61155,-122.34114,1908,1.0,7,122810,0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,,99.0,44.0,49.59999847,68.19999695,74.09999847,5401277.5,18429923,6088417.5,20774542,0.0,0,379121,1293561.0,41077.16016,4107716.0,14016108,False,,Compliant,,227.18,1.85
67,2016,NonResidential,Hotel,QUALITY INN,618 JOHN ST,98109.0,7,LAKE UNION,47.61986,-122.34413,1959,1.0,5,113173,42546,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,,,,86.0,74.80000305,76.90000153,165.6999969,172.1000061,5284343.5,18030928,5428403.5,18522481,0.0,0,863036,2944680.0,23396.62891,2339663.0,7983261,False,,Compliant,,144.79,1.28
68,2016,NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,98109.0,7,LAKE UNION,47.62001,-122.34274,2000,1.0,7,150453,34735,Hotel,Hotel,107547.0,Restaurant,3000.0,,,2014,84.0,60.70000076,61.79999924,128.0,129.8000031,6715187.0,22913168,6835263.5,23322886,0.0,0,995342,3396109.0,33190.77734,3319078.0,11325164,False,,Compliant,,199.95,1.33
69,2016,NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,98109.0,7,LAKE UNION,47.62025,-122.34314,1997,1.0,6,116300,28200,Hotel,Hotel,88490.0,Parking,28300.0,,,,80.0,65.90000153,67.09999847,144.5,147.1000061,5827595.5,19884581,5941927.0,20274696,0.0,0,934483,3188457.0,26391.38086,2639138.0,9005112,False,,Compliant,,162.39,1.4
70,2016,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,206 Western Ave West,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,1.0,6,155602,36744,Hotel,Hotel,155602.0,,,,,,81.0,43.90000153,44.0,107.4000015,107.5999985,6836900.0,23328470,6849826.5,23372577,0.0,0,1336148,4558937.0,22779.61914,2277962.0,7772728,False,,Compliant,,152.76,0.98
73,2016,NonResidential,K-12 School,Seattle Hebrew Academy,1617 Interlaken Drive East,98136.0,3,EAST,47.63442,-122.30793,1911,1.0,3,56072,0,K-12 School,K-12 School,56072.0,,,,,,76.0,57.70000076,67.80000305,81.09999847,92.69999695,3234787.75,11037553,3800842.5,12969012,0.0,0,161743,551867.0,26829.20117,2682920.0,9154502,False,,Compliant,,146.34,2.61
77,2016,NonResidential,Hotel,Comfort Suites Seattle Center,601 Roy St,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,1.0,4,122942,44891,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,,,,94.0,68.40000153,69.0,136.6999969,138.6999969,5337334.0,18211739,5387530.0,18383015,0.0,0,710354,2423730.0,29136.03906,2913604.0,9941629,False,,Compliant,,171.64,1.4
82,2016,NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,1700 E. Cherry St,98122.0,3,CENTRAL,47.60823,-122.30956,1962,1.0,2,54984,0,Office,Office,54984.0,,,,,,71.0,61.40000153,66.0,139.6000061,144.5,3375211.0,11516697,3630147.25,12386576,0.0,0,579786,1978230.0,13969.80957,1396981.0,4766696,False,,Compliant,,87.98,1.6
84,2016,NonResidential,Senior Care Community,PSSA - The Mount,4831 35th Ave SW,98126.0,1,SOUTHWEST,47.55837,-122.37751,1922,1.0,5,217603,0,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,,,,54.0,144.3999939,153.6999969,235.0,244.8000031,42792072.0,146012609,45547252.0,155413673,0.0,0,3465642,11824772.0,309673.0,30967300.0,105664812,False,,Compliant,,1727.11,7.94
85,2016,NonResidential,Senior Care Community,Foss Home and Village,13023 Greenwood Ave. N,98133.0,5,NORTHWEST,47.72426,-122.35599,1970,1.0,2,93397,0,Senior Care Community,Senior Care Community,93397.0,,,,,,1.0,175.6000061,181.6000061,311.5,320.0,16402563.0,55967867,16959754.0,57869082,0.0,0,1664565,5679498.0,107230.6406,10723064.0,36588612,False,,Compliant,,609.1,6.52
86,2016,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,207 Pontius Ave N,98109.0,7,LAKE UNION,47.61988,-122.33211,2008,1.0,6,84103,20732,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,,,,74.0,58.5,59.79999924,154.1999969,156.6999969,3706100.25,12645738,3787499.0,12923482,0.0,0,824351,2812688.0,8934.120117,893412.0,3048448,False,,Compliant,,67.06,0.8
89,2016,NonResidential,Medical Office,Polyclinic North && South,1200 Harvard Ave,98122.0,3,EAST,47.61244,-122.3214,1965,0.0,3,179014,0,Medical Office,Medical Office,179014.0,,,,,,48.0,93.30000305,92.30000305,213.3999939,210.3000031,16701055.0,56986364,16527711.0,56394890,0.0,0,2897562,9886484.0,68145.70313,6814570.0,23252277,False,,Compliant,,430.84,2.41
95,2016,NonResidential,Hotel,Sorrento Hotel,900 Madison St.,98104.0,3,EAST,47.60898,-122.32693,1908,1.0,7,76631,0,Hotel,Hotel,76631.0,,,,,,71.0,94.69999695,94.59999847,172.0,171.6999969,7258758.5,24767911,7250730.5,24740519,0.0,0,779819,2660742.0,45980.16016,4598016.0,15689081,False,,Compliant,,262.75,3.43
