OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,98101.0,7.0,DOWNTOWN,47.61,-122.33,1922.0,1.0,11.0,92190,25200.0,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,,35.0,159.5,165.9,297.4,303.9,10750010.0,11179203.0,4870847.5,1123203.12,3832369.0,20467.93,2046793.0,False,Compliant,,511.39,5.55
21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,98154.0,7.0,DOWNTOWN,47.61,-122.33,2004.0,1.0,11.0,412000,57000.0,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,,50.8,51.1,155.6,156.0,18588860.0,18706912.0,737559.5,5231916.0,17851297.0,0.0,0.0,False,Compliant,,181.38,0.44
22,2016,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,98104.0,7.0,DOWNTOWN,47.61,-122.33,1930.0,1.0,6.0,103911,0.0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,,76.6,78.4,157.4,159.6,9956396.0,10192124.0,4592347.5,1305354.12,4453868.0,9101.8,910180.0,False,Compliant,,433.86,4.18
23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,98104.0,7.0,DOWNTOWN,47.61,-122.33,1983.0,1.0,28.0,416281,85000.0,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,,31.0,96.3,98.6,228.5,232.8,33556756.0,34351920.0,0.0,6220773.0,21225277.0,123314.75,12331475.0,False,Compliant,,802.89,1.93
24,2016,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,98104.0,7.0,DOWNTOWN,47.61,-122.33,1907.0,1.0,5.0,57452,0.0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,,132.4,137.1,280.7,285.0,7606084.5,7877219.0,1776201.88,1103397.12,3764791.0,20650.91,2065091.0,False,Compliant,,273.02,4.75
25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,98104.0,7.0,DOWNTOWN,47.6,-122.33,1916.0,1.0,10.0,104352,0.0,Hotel,Hotel,104352.0,,,,,,39.0,97.3,97.3,225.5,225.5,10154608.0,10154608.0,3430862.0,1731644.12,5908370.0,8153.76,815376.0,False,Compliant,,349.32,3.35
26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,98104.0,7.0,DOWNTOWN,47.6,-122.33,1916.0,1.0,10.0,540360,0.0,Courthouse,Courthouse,537150.0,,,,,,76.0,83.7,87.5,182.7,186.7,44984468.0,47023088.0,0.0,7138872.5,24357833.0,206266.31,20626631.0,False,Compliant,,1265.29,2.34
27,2016,NonResidential,Other,King County Correctional Facility,500 5TH AVE,98104.0,3.0,DOWNTOWN,47.6,-122.33,1985.0,1.0,19.0,385274,0.0,Other,Other,385274.0,,,,,,,124.2,128.6,229.5,232.9,47859812.0,49539212.0,0.0,5351014.5,18257661.0,296021.5,29602150.0,False,Compliant,,1699.45,4.41
28,2016,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,98118.0,2.0,SOUTHEAST,47.55,-122.27,1961.0,1.0,2.0,56228,0.0,K-12 School,K-12 School,58916.0,,,,,,95.0,26.1,29.1,60.7,64.6,1539478.5,1713623.5,0.0,274605.91,936955.0,6025.23,602523.0,True,Error - Correct Default Data,,38.53,0.69
29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,4.0,NORTHEAST,47.66,-122.32,2001.0,1.0,6.0,88592,30586.0,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,,84.0,63.2,63.3,148.0,148.5,3663534.5,3673186.75,0.0,664194.38,2266231.0,13973.03,1397303.0,False,Compliant,,90.01,1.02
30,2016,NonResidential,University,Main Campus Center,1000 Lenora St.,98121.0,7.0,DOWNTOWN,47.62,-122.34,1928.0,1.0,7.0,126593,0.0,College/University,College/University,125000.0,,,,,,,90.7,97.5,173.0,180.0,11343686.0,12183313.0,0.0,1362096.75,4647474.0,66962.11,6696211.0,False,Compliant,,388.04,3.07
31,2016,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,98101.0,7.0,DOWNTOWN,47.62,-122.33,1930.0,1.0,2.0,67224,0.0,Automobile Dealership,Automobile Dealership,67224.0,,,,,,,19.5,19.5,61.2,61.2,1310236.62,1310236.62,0.0,384008.31,1310236.0,0.0,0.0,False,Compliant,,9.13,0.14
32,2016,NonResidential,Hotel,Homewood Suites,1011 Pike ST,98101.0,7.0,EAST,47.61,-122.33,1991.0,1.0,8.0,158676,30301.0,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,,45.5,46.3,58.0,58.8,5328051.5,5424942.0,0.0,167733.5,572307.0,47557.45,4755745.0,False,Compliant,,256.57,1.62
33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,98101.0,7.0,DOWNTOWN,47.62,-122.33,2001.0,1.0,10.0,171866,38281.0,Hotel,Hotel,128909.0,,,,,,57.0,85.8,86.7,181.1,180.6,11061916.0,11171407.0,0.0,1644403.75,5610706.0,54512.1,5451210.0,False,Compliant,,328.63,1.91
35,2016,NonResidential,Hotel,Hotel Five,2200 5th ave,98121.0,7.0,DOWNTOWN,47.62,-122.34,1978.0,1.0,5.0,68410,16200.0,Hotel,Hotel,47994.0,,,,,,57.0,92.9,95.0,199.7,206.3,4456714.5,4557974.0,0.0,687675.62,2346349.0,21103.65,2110365.0,False,Compliant,,128.44,1.88
36,2016,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,98125.0,5.0,NORTH,47.71,-122.29,1949.0,1.0,2.0,160645,0.0,K-12 School,K-12 School,164229.0,,,,,,75.0,41.3,47.5,68.1,75.7,6779173.0,7800349.5,0.0,570809.19,1947601.0,48315.72,4831572.0,True,Error - Correct Default Data,,270.18,1.68
38,2016,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,98070.0,4.0,LAKE UNION,47.66,-122.33,1906.0,1.0,3.0,87262,0.0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,,61.5,69.8,106.5,115.9,4145920.5,4703690.0,0.0,396495.69,1352843.0,27930.77,2793077.0,False,Compliant,,157.77,1.81
40,2016,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,98105.0,4.0,NORTHEAST,47.67,-122.3,1994.0,1.0,4.0,81871,0.0,Hotel,Hotel,81871.0,,,,,,29.0,81.5,82.2,162.5,164.9,6668568.5,6731281.5,0.0,884056.0,3016399.0,36521.69,3652169.0,False,Compliant,,215.0,2.63
41,2016,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,98105.0,4.0,NORTHEAST,47.66,-122.3,1955.0,1.0,2.0,110356,0.0,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,,,12.1,12.4,35.2,35.5,318364.81,326223.09,0.0,82434.0,281265.0,371.0,37100.0,False,Compliant,,3.93,0.04
43,2016,Campus,Mixed Use Property,Plant 2 Site,7755 E MARGINAL WAY S,98108.0,2.0,GREATER DUWAMISH,47.53,-122.32,1992.0,1.0,3.0,494835,0.0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,757027.0,Laboratory,639931.0,Non-Refrigerated Warehouse,459748.0,,8.0,221.7,233.1,388.2,400.3,448385312.0,471613856.0,0.0,44102076.0,150476283.0,2979090.0,297909000.0,False,Compliant,,16870.98,34.09
46,2016,NonResidential,Warehouse,Seattle 11-13,3301 S NORFOLK ST,98118.0,2.0,GREATER DUWAMISH,47.51,-122.29,1961.0,3.0,2.0,714095,0.0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,Refrigerated Warehouse,276000.0,Office,71000.0,,,46.4,45.8,145.9,143.8,44731160.0,44110016.0,0.0,13109951.0,44731153.0,0.0,0.0,False,Compliant,,311.84,0.44
50,2016,SPS-District K-12,K-12 School,Lawton Elementary,4000 27th Ave. W.,98199.0,7.0,MAGNOLIA / QUEEN ANNE,47.66,-122.39,1990.0,1.0,2.0,54986,0.0,K-12 School,K-12 School,54986.0,,,,,2016,97.0,30.0,32.8,77.8,83.2,1650279.25,1802471.38,0.0,356855.0,1217589.0,4326.9,432690.0,False,Compliant,,31.47,0.57
51,2016,SPS-District K-12,K-12 School,Eckstein Middle,3003 N.E. 75th St.,98115.0,4.0,NORTHEAST,47.68,-122.29,1950.0,1.0,2.0,175565,0.0,K-12 School,K-12 School,182861.0,,,,,,88.0,35.0,40.1,55.0,60.4,6399127.5,7329817.5,0.0,468840.5,1599684.0,47994.43,4799443.0,True,Error - Correct Default Data,,266.05,1.52
52,2016,NonResidential,Small- and Mid-Sized Office,SBC52,5305 Shilshole Ave NW,98107.0,6.0,BALLARD,47.67,-122.38,1961.0,1.0,2.0,94900,0.0,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,,57.0,65.2,68.9,163.0,165.9,6186461.5,6536359.5,0.0,1257791.75,4291585.0,18948.76,1894876.0,False,Compliant,,130.56,1.38
53,2016,NonResidential,Small- and Mid-Sized Office,El Centro de la Raza,2524 16th Ave S,98144.0,2.0,GREATER DUWAMISH,47.58,-122.31,1900.0,1.0,2.0,52554,0.0,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,,83.0,50.1,53.5,108.7,112.3,2951331.25,3150635.5,0.0,462998.0,1579749.0,13715.82,1371582.0,False,Compliant,,83.86,1.6
54,2016,NonResidential,K-12 School,Blanchet High School,8200 Wallingford Ave. N,98103.0,6.0,NORTHWEST,47.69,-122.34,1954.0,1.0,3.0,175015,0.0,K-12 School,K-12 School,175015.0,,,,,,95.0,40.0,45.1,74.0,80.4,6994740.5,7886505.5,0.0,785386.69,2679739.0,43150.01,4315001.0,False,Compliant,,247.85,1.42
55,2016,NonResidential,Self-Storage Facility,Vine Street,11 Vine Street,98121.0,7.0,DOWNTOWN,47.61,-122.35,1911.0,1.0,3.0,70586,0.0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,,30.6,33.1,76.6,79.2,2158629.0,2331573.25,0.0,439691.91,1500229.0,6584.0,658400.0,False,Compliant,,45.43,0.64
56,2016,NonResidential,Hotel,Seattle Hilton Hotel,1301 Sixth Ave,98101.0,7.0,DOWNTOWN,47.61,-122.33,1969.0,1.0,24.0,332210,205970.0,Hotel,Hotel,348630.0,,,,,,67.0,46.4,46.4,121.8,121.8,16163194.0,16163194.0,0.0,3576906.75,12204406.0,39587.87,3958787.0,False,Compliant,,295.33,0.89
57,2016,NonResidential,Large Office,5th and Pine,413 Pine Street,98101.0,7.0,DOWNTOWN,47.61,-122.34,1973.0,1.0,5.0,168115,0.0,"Data Center, Office, Retail Store",Office,103362.0,Retail Store,65676.0,Data Center,493.0,2016,78.0,56.3,56.3,176.6,176.6,9536161.0,9536161.0,0.0,2794888.75,9536160.0,0.0,0.0,False,Compliant,,66.48,0.4
58,2016,NonResidential,Other,1525 4th Avenue,1525 4th Ave,98101.0,7.0,DOWNTOWN,47.61,-122.34,1920.0,1.0,2.0,57428,0.0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681.0,,,,,21.7,21.6,48.8,48.4,1247362.0,1239429.75,0.0,209536.59,714939.0,5324.23,532423.0,False,Compliant,,33.26,0.58
59,2016,NonResidential,Small- and Mid-Sized Office,Gibraltar Tower,1520 3rd Ave,98101.0,7.0,DOWNTOWN,47.61,-122.34,1910.0,1.0,8.0,59400,0.0,"Office, Retail Store",Office,34947.0,Retail Store,4993.0,,,,14.0,85.4,88.3,398.7,412.2,5071974.0,5242479.5,0.0,1486510.38,5071973.0,0.0,0.0,False,Compliant,,35.36,0.6
60,2016,NonResidential,Mixed Use Property,Mann Building,1401 3rd Avenue,98101.0,7.0,DOWNTOWN,47.61,-122.34,1926.0,1.0,2.0,52549,0.0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,,,286.4,299.0,485.3,495.5,15026196.0,15683742.0,0.0,1357696.12,4632459.0,103937.37,10393737.0,False,Compliant,,584.31,11.12
62,2016,NonResidential,Hotel,Roosevelt Hotel,1531 7th Ave,98101.0,7.0,DOWNTOWN,47.61,-122.33,1930.0,1.0,20.0,98634,10043.0,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,,71.0,54.6,57.3,158.6,167.0,4841347.5,5078816.0,0.0,1257344.25,4290059.0,5512.88,551288.0,False,Compliant,,59.19,0.6
63,2016,NonResidential,Hotel,Sheraton Seattle Hotel,1400 6th Avenue,98101.0,7.0,DOWNTOWN,47.61,-122.33,1982.0,1.0,34.0,994212,146694.0,"Hotel, Parking, Swimming Pool",Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,,63.0,80.9,82.8,182.5,184.5,80469216.0,82318072.0,11598686.0,13348631.0,45545529.0,233249.92,23324992.0,False,Compliant,,2451.58,2.47
65,2016,NonResidential,Hotel,Inn at the Market,86 Pine St,98101.0,7.0,DOWNTOWN,47.61,-122.34,1985.0,1.0,7.0,71150,0.0,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,,98.0,93.1,93.1,215.9,215.9,5348309.0,5348309.0,0.0,950732.81,3243900.0,21044.08,2104408.0,False,Compliant,,134.38,1.89
66,2016,NonResidential,Hotel,Moore Hotel INC,1926 2nd Ave,98101.0,7.0,DOWNTOWN,47.61,-122.34,1908.0,1.0,7.0,122810,0.0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,,99.0,44.0,49.6,68.2,74.1,5401277.5,6088417.5,0.0,379121.09,1293561.0,41077.16,4107716.0,False,Compliant,,227.18,1.85
67,2016,NonResidential,Hotel,QUALITY INN,618 JOHN ST,98109.0,7.0,LAKE UNION,47.62,-122.34,1959.0,1.0,5.0,113173,42546.0,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,,,,86.0,74.8,76.9,165.7,172.1,5284343.5,5428403.5,0.0,863036.31,2944680.0,23396.63,2339663.0,False,Compliant,,144.79,1.28
68,2016,NonResidential,Hotel,Rainier Hospitality,211 Dexter Ave N,98109.0,7.0,LAKE UNION,47.62,-122.34,2000.0,1.0,7.0,150453,34735.0,Hotel,Hotel,107547.0,Restaurant,3000.0,,,2014,84.0,60.7,61.8,128.0,129.8,6715187.0,6835263.5,0.0,995342.5,3396109.0,33190.78,3319078.0,False,Compliant,,199.95,1.33
69,2016,NonResidential,Hotel,Sequim Lodging Corp,226 Aurora Ave N,98109.0,7.0,LAKE UNION,47.62,-122.34,1997.0,1.0,6.0,116300,28200.0,Hotel,Hotel,88490.0,Parking,28300.0,,,,80.0,65.9,67.1,144.5,147.1,5827595.5,5941927.0,0.0,934483.31,3188457.0,26391.38,2639138.0,False,Compliant,,162.39,1.4
70,2016,NonResidential,Hotel,Homewood Suites by Hilton Seattle Downtonw,206 Western Ave West,98119.0,7.0,MAGNOLIA / QUEEN ANNE,47.62,-122.36,1998.0,1.0,6.0,155602,36744.0,Hotel,Hotel,155602.0,,,,,,81.0,43.9,44.0,107.4,107.6,6836900.0,6849826.5,0.0,1336148.12,4558937.0,22779.62,2277962.0,False,Compliant,,152.76,0.98
73,2016,NonResidential,K-12 School,Seattle Hebrew Academy,1617 Interlaken Drive East,98136.0,3.0,EAST,47.63,-122.31,1911.0,1.0,3.0,56072,0.0,K-12 School,K-12 School,56072.0,,,,,,76.0,57.7,67.8,81.1,92.7,3234787.75,3800842.5,0.0,161743.09,551867.0,26829.2,2682920.0,False,Compliant,,146.34,2.61
77,2016,NonResidential,Hotel,Comfort Suites Seattle Center,601 Roy St,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.63,-122.34,1999.0,1.0,4.0,122942,44891.0,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,,,,94.0,68.4,69.0,136.7,138.7,5337334.0,5387530.0,0.0,710354.5,2423730.0,29136.04,2913604.0,False,Compliant,,171.64,1.4
82,2016,NonResidential,Small- and Mid-Sized Office,Dept of Social & Health Services,1700 E. Cherry St,98122.0,3.0,CENTRAL,47.61,-122.31,1962.0,1.0,2.0,54984,0.0,Office,Office,54984.0,,,,,,71.0,61.4,66.0,139.6,144.5,3375211.0,3630147.25,0.0,579786.0,1978230.0,13969.81,1396981.0,False,Compliant,,87.98,1.6
84,2016,NonResidential,Senior Care Community,PSSA - The Mount,4831 35th Ave SW,98126.0,1.0,SOUTHWEST,47.56,-122.38,1922.0,1.0,5.0,217603,0.0,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,,,,54.0,144.4,153.7,235.0,244.8,42792072.0,45547252.0,0.0,3465642.5,11824772.0,309673.0,30967300.0,False,Compliant,,1727.11,7.94
85,2016,NonResidential,Senior Care Community,Foss Home and Village,13023 Greenwood Ave. N,98133.0,5.0,NORTHWEST,47.72,-122.36,1970.0,1.0,2.0,93397,0.0,Senior Care Community,Senior Care Community,93397.0,,,,,,1.0,175.6,181.6,311.5,320.0,16402563.0,16959754.0,0.0,1664565.75,5679498.0,107230.64,10723064.0,False,Compliant,,609.1,6.52
86,2016,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,207 Pontius Ave N,98109.0,7.0,LAKE UNION,47.62,-122.33,2008.0,1.0,6.0,84103,20732.0,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,,,,74.0,58.5,59.8,154.2,156.7,3706100.25,3787499.0,0.0,824351.62,2812688.0,8934.12,893412.0,False,Compliant,,67.06,0.8
89,2016,NonResidential,Medical Office,Polyclinic North && South,1200 Harvard Ave,98122.0,3.0,EAST,47.61,-122.32,1965.0,0.0,3.0,179014,0.0,Medical Office,Medical Office,179014.0,,,,,,48.0,93.3,92.3,213.4,210.3,16701055.0,16527711.0,0.0,2897562.75,9886484.0,68145.7,6814570.0,False,Compliant,,430.84,2.41
95,2016,NonResidential,Hotel,Sorrento Hotel,900 Madison St.,98104.0,3.0,EAST,47.61,-122.33,1908.0,1.0,7.0,76631,0.0,Hotel,Hotel,76631.0,,,,,,71.0,94.7,94.6,172.0,171.7,7258758.5,7250730.5,0.0,779819.0,2660742.0,45980.16,4598016.0,False,Compliant,,262.75,3.43
96,2016,NonResidential,Mixed Use Property,Central Seattle,921 Terry Ave.,98104.0,3.0,EAST,47.61,-122.33,1983.0,1.0,6.0,99780,9341.0,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,Parking,20868.0,Office,17020.0,,,204.5,207.3,505.8,504.3,15473117.0,15684371.0,5327802.5,2973421.25,10145313.0,0.0,0.0,False,Compliant,,481.97,4.83
98,2016,NonResidential,Retail Store,Firestone Store#012432,400 Westlake Ave N,98109.0,7.0,LAKE UNION,47.62,-122.34,1929.0,1.0,2.0,58320,0.0,Retail Store,Retail Store,72072.0,,,,,,96.0,14.6,17.2,25.8,28.8,1049748.62,1243027.75,0.0,106038.5,361803.0,6879.45,687945.0,False,Compliant,,39.06,0.67
100,2016,NonResidential,Large Office,City Place III - SEDO,551 Boren Ave. North,98109.0,7.0,LAKE UNION,47.62,-122.34,2010.0,1.0,5.0,316306,0.0,"Office, Other, Parking, Retail Store",Office,261826.0,Parking,150726.0,Other,15139.0,,96.0,48.0,48.4,144.0,144.4,13795954.0,13909270.0,0.0,3772301.0,12871091.0,9248.61,924861.0,False,Compliant,,138.85,0.44
102,2016,NonResidential,Hotel,Residence Inn Seattle - Lake Union,800 Fairview Ave. N,98109.0,3.0,LAKE UNION,47.63,-122.33,1990.0,1.0,7.0,282863,44766.0,"Hotel, Parking",Hotel,235788.0,Parking,51537.0,,,,37.0,82.5,85.6,184.0,189.2,19459304.0,20194606.0,0.0,3218245.0,10980652.0,84786.51,8478651.0,False,Compliant,,526.85,1.86
103,2016,Nonresidential COS,Other,Key Arena,334 1st Ave. N,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.62,-122.35,1962.0,1.0,1.0,389000,0.0,Other,Other,368000.0,,,,,,,64.3,64.5,151.6,152.1,23658978.0,23736924.0,6093150.0,4226010.0,14419146.0,6886.8,688680.0,False,Compliant,,607.41,1.56
