OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUse(kWh),SiteEnergyUseWN(kBtu),SiteEnergyUseWN(kWh),SteamUse(kBtu),SteamUse(kWh),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),NaturalGas(kWh),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comment,ComplianceStatus,Outlier
23,2015,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,515 MADISON ST,98104.0,7,DOWNTOWN,47.60656003,-122.33063632,1983,1,28.0,416281,85000,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,,30.0,95.5,97.4,231.9,234.7,33270518.0,113523718,33922016.0,115746721,0.0,0,6427712,21932264.0,113392.0,11339166.0,38690840,0.0,755.12,1.59,No,,Compliant,
24,2015,NonResidential,Mixed Use Property,RAINIER CLUB (HISTORICAL LANDMARK),810 4TH AVE,98104.0,7,DOWNTOWN,47.60552597,-122.33163032,1907,1,5.0,57452,0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,,130.2,140.2,278.7,290.2,7481768.0,25528851,8052425.0,27476014,1755365.0,5989553,1106043,3773975.0,19526.0,1952583.0,6662489,0.0,265.5,4.34,No,,Compliant,
25,2015,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,700 3RD AVE,98104.0,7,DOWNTOWN,47.60397899,-122.3320576,1916,1,10.0,104352,0,,,,,,,,,83.0,75.2,74.9,119.5,118.6,7845112.0,26768633,7816594.0,26671325,3205497.0,10937609,524792,1790665.0,28490.0,2849024.0,9721273,0.0,411.22,3.87,No,,Compliant,
26,2015,NonResidential,Other,KING COUNTY COURTHOUSE,516 3RD AVE,98104.0,7,DOWNTOWN,47.60264587,-122.33052826,1916,1,10.0,540360,0,Courthouse,Courthouse,537150.0,,,,,,67.0,99.3,103.1,208.5,210.4,53332648.0,181978546,55378956.0,188960839,0.0,0,7853984,26798906.0,265349.0,26534856.0,90540686,0.0,1596.08,2.74,No,,Compliant,
27,2015,NonResidential,Other,KING COUNTY CORRECTIONAL FACILITY,500 5TH AVE,98104.0,3,DOWNTOWN,47.60355377,-122.32830048,1985,1,19.0,385274,0,Other,Other,385274.0,,,,,,,132.1,136.1,245.5,243.9,50899248.0,173675441,52435544.0,178917501,0.0,0,5766838,19677268.0,312228.0,31222797.0,106536604,0.0,1795.42,4.44,No,,Compliant,
28,2015,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),5101 S GRAHAM ST,98118.0,2,SOUTHEAST,47.54570136,-122.2685843,1961,1,2.0,56228,0,K-12 School,K-12 School,58320.0,,,,,,96.0,25.1,29.6,59.2,63.9,1454222.0,4962011,1716043.0,5855381,0.0,0,267181,911659.0,5426.0,542600.0,1851428,0.0,35.17,0.56,Yes,,Compliant,
29,2015,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,4,NORTHEAST,47.65953281,-122.3173925,2001,1,6.0,88592,30586,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,,85.0,66.9,66.3,151.5,149.7,3880806.0,13241859,3848493.0,13131603,0.0,0,660802,2254751.0,16261.0,1626149.0,5548650,0.0,102.08,1.04,No,,Compliant,
30,2015,NonResidential,College/University,Cornish (Main Campus Center),1000 LENORA ST,98121.0,7,DOWNTOWN,47.61839333,-122.3369292,1928,1,7.0,126593,0,College/University,College/University,125000.0,,,,,,,78.3,90.9,158.9,172.1,9791557.0,33410178,11360926.0,38765088,0.0,0,1343046,4582663.0,52091.0,5209084.0,17774132,0.0,308.6,2.28,No,,Compliant,
31,2015,NonResidential,Other,SEATTLE HONDA,1017 OLIVE WAY,98101.0,7,DOWNTOWN,47.61490582,-122.33040102,1930,1,2.0,67224,0,Automobile Dealership,Automobile Dealership,67224.0,,,,,,,20.7,20.7,64.9,64.9,1388717.0,4738499,1388717.0,4738499,0.0,0,407010,1388775.0,0.0,0.0,0,0.0,9.68,0.06,No,,Compliant,
32,2015,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,1011 PIKE ST,98101.0,7,EAST,47.61300278,-122.32923126,1991,1,8.0,158676,30301,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,,44.0,46.3,55.7,58.1,5159342.0,17604405,5421759.0,18499809,0.0,0,156133,532747.0,46266.0,4626617.0,15786672,0.0,249.43,1.56,No,,Compliant,
33,2015,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,1800 YALE AVE,98101.0,7,DOWNTOWN,47.61806905,-122.33005445,2001,1,10.0,171866,38281,Hotel,Hotel,128909.0,,,,,,20.0,85.5,86.7,183.3,180.9,11026945.0,37625497,11178456.0,38142474,0.0,0,1689143,5763595.0,52636.0,5263590.0,17960114,0.0,319.73,1.72,Yes,,Compliant,
34,2015,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),300 20TH AVE E,98112.0,3,CENTRAL,47.62309371,-122.3053887,1955,1,1.0,126351,0,K-12 School,K-12 School,126351.0,,,,,,57.0,49.7,64.4,84.2,102.4,6283226.0,21439256,8131874.0,27747105,0.0,0,566538,1933106.0,43502.0,4350200.0,14843498,0.0,244.51,1.87,No,,Compliant,
35,2015,NonResidential,Hotel,Hotel Five,2200 5TH AVE,98121.0,7,DOWNTOWN,47.61587049,-122.34197968,1978,1,5.0,68410,16200,Hotel,Hotel,47994.0,,,,,,60.0,90.5,90.5,194.1,194.1,4341706.0,14814515,4341706.0,14814515,0.0,0,667101,2276244.0,20656.0,2065556.0,7047969,0.0,125.57,1.69,No,,Compliant,
36,2015,SPS-District K-12,K-12 School,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),11031 34TH AVE NE,98125.0,5,NORTH,47.71011498,-122.29379175,1949,1,2.0,160645,0,K-12 School,K-12 School,164229.0,,,,,,80.0,38.9,50.9,62.6,77.2,6387710.0,21795771,8362498.0,28534027,0.0,0,501058,1709681.0,46781.0,4678100.0,15962339,0.0,260.37,1.58,Yes,,Compliant,
37,2015,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),201 GARFIELD ST,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63303191,-122.35245717,1989,1,2.0,51582,0,K-12 School,K-12 School,55166.0,,,,,,94.0,26.7,30.5,83.8,95.8,1472548.0,5024542,1682521.0,5740999,0.0,0,431579,1472609.0,0.0,0.0,0,0.0,10.27,0.08,Yes,,Compliant,
38,2015,NonResidential,Small- and Mid-Sized Office,HOUSE OF GOOD SHEPHERD,4649 SUNNYSIDE AVE N,98103.0,4,LAKE UNION,47.66391557,-122.33172174,1906,1,3.0,87262,0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,K-12 School,18153.0,Other - Entertainment/Public Assembly,4307.0,,,59.2,66.3,104.1,112.3,3988729.0,13610108,4470231.0,15253061,0.0,0,396679,1353524.0,26353.0,2635261.0,8991883,0.0,149.39,1.65,No,,Compliant,
40,2015,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,5036 25TH AVE NE,98105.0,4,NORTHEAST,47.66585193,-122.29889419,1994,1,4.0,81871,0,Hotel,Hotel,81871.0,,,,,,20.0,90.6,93.8,178.5,181.8,7419765.0,25317288,7677473.0,26196625,0.0,0,957249,3266270.0,41536.0,4153630.0,14172773,0.0,243.37,2.8,No,,Compliant,
41,2015,NonResidential,"Self-Storage Facility
",QFC / SHURGARD MINI STORAGE / LIQUOR STORE,2746 NE 45TH ST,98105.0,4,NORTHEAST,47.66270326,-122.29612323,1955,1,2.0,126394,0,Self-Storage Facility,Self-Storage Facility,26225.0,,,,,,77.0,11.7,12.2,34.0,34.5,306721.0,1046575,319916.0,1091598,0.0,0,79930,272732.0,340.0,34000.0,116012,0.0,3.71,0.02,No,,Compliant,
46,2015,NonResidential,Distribution Center,SEATTLE WAREHOUSE OFFICE BUILDING,3301 S NORFOLK ST,98118.0,2,GREATER DUWAMISH,47.5106034,-122.29027588,1961,7,2.0,714095,0,,,,,,,,,1.0,66.9,64.7,210.0,203.3,47843892.0,163250134,46313516.0,158028274,0.0,0,14022240,47845869.0,0.0,0.0,0,0.0,333.54,0.18,No,,Compliant,
50,2015,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),4017 26TH AVE W,98199.0,7,MAGNOLIA / QUEEN ANNE,47.65726207,-122.39065097,1990,1,2.0,54986,0,K-12 School,K-12 School,54986.0,,,,,2016,91.0,30.1,33.5,80.3,91.0,1655612.0,5649182,1842702.0,6287560,0.0,0,375707,1281965.0,3737.0,373700.0,1275117,0.0,28.78,0.42,No,,Compliant,
51,2015,SPS-District K-12,K-12 School,ECKSTEIN MIDDLE (SPS-DISTRICT),3003 NE 75TH ST,98115.0,4,NORTHEAST,47.68245037,-122.2939354,1950,1,2.0,175565,0,K-12 School,K-12 School,182861.0,,,,,,88.0,34.1,45.5,53.6,67.3,6227419.0,21248835,8317888.0,28381811,0.0,0,457772,1561983.0,46655.0,4665500.0,15919346,0.0,258.67,1.44,Yes,,Compliant,
52,2015,NonResidential,Small- and Mid-Sized Office,SALMON BAY CENTER 5305 & 5309,5305 SHILSHOLE AVE NW,98107.0,6,BALLARD,47.66580963,-122.3860321,1961,1,2.0,94900,0,"Non-Refrigerated Warehouse, Office",Office,55586.0,Non-Refrigerated Warehouse,39314.0,,,,57.0,63.7,69.6,161.3,165.9,6043853.0,20622482,6605535.0,22539020,0.0,0,1257186,4289697.0,17543.0,1754334.0,5986036,0.0,123.08,1.1,No,,Compliant,
53,2015,NonResidential,Small- and Mid-Sized Office,EL CENTRO DE LA RAZA,2524 16TH AVE S,98144.0,2,GREATER DUWAMISH,47.58002948,-122.31181286,1900,1,2.0,52554,0,"Office, Other - Education",Office,51029.0,Other - Education,7849.0,,,,93.0,36.3,37.2,81.6,84.5,2137686.0,7294087,2192109.0,7479786,0.0,0,359310,1226016.0,9117.0,911721.0,3110921,0.0,56.97,0.98,No,,Compliant,
54,2015,NonResidential,K-12 School,BLANCHET HIGH SCHOOL,8200 WALLINGFORD AVE N,98103.0,6,NORTHWEST,47.68894837,-122.33616192,1954,1,3.0,175015,0,K-12 School,K-12 School,175015.0,,,,,,95.0,40.5,49.1,74.6,85.8,7080118.0,24158365,8596269.0,29331687,0.0,0,789588,2694187.0,43860.0,4386042.0,14965796,0.0,251.72,1.37,No,,Compliant,
55,2015,NonResidential,"Self-Storage Facility
",MINI STG (OLD SKYWAY LUGGAGE CO),11 VINE ST,98121.0,7,DOWNTOWN,47.61311034,-122.35096928,1911,1,3.0,70586,0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,Vocational School,28197.0,Office,3859.0,,,30.5,33.7,79.6,82.0,2147062.0,7326079,2377595.0,8112690,0.0,0,471115,1607511.0,5396.0,539617.0,1841249,0.0,39.87,0.47,No,,Compliant,
56,2015,NonResidential,Hotel,HILTON SEATTLE,1301 6TH AVE,98101.0,7,DOWNTOWN,47.60950466,-122.3334029,1969,1,24.0,332210,205970,Hotel,Hotel,348630.0,,,,,,68.0,44.9,44.9,121.0,121.0,15660628.0,53436280,15660628.0,53436280,0.0,0,3607318,12308680.0,33525.0,3352459.0,11439064,0.0,263.85,0.63,No,,Compliant,
57,2015,NonResidential,Large Office,5th and Pine,1513 5TH AVE,98101.0,7,DOWNTOWN,47.61103976,-122.3363484,1973,1,5.0,168115,0,"Data Center, Office, Retail Store",Office,103501.0,Retail Store,65676.0,Data Center,354.0,2016,79.0,54.3,54.3,170.7,170.7,9213841.0,31438930,9213841.0,31438930,0.0,0,2700422,9214222.0,0.0,0.0,0,0.0,64.23,0.15,No,,Compliant,
59,2015,NonResidential,Small- and Mid-Sized Office,GIBRALTAR TOWER,1518 3RD AVE,98101.0,7,DOWNTOWN,47.610466,-122.33795929,1910,1,8.0,59400,0,"Office, Retail Store",Office,34947.0,Retail Store,4993.0,,,,,98.0,109.4,307.9,343.5,3915947.0,13361765,4369220.0,14908397,0.0,0,1147698,3916108.0,0.0,0.0,0,0.0,27.3,0.18,No,,Compliant,
60,2015,NonResidential,Mixed Use Property,MANN BUILDING/WILD GINGER/TRIPLE DOOR,1401 3RD AVE,98101.0,7,DOWNTOWN,47.60883331,-122.3374176,1926,1,2.0,52549,0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,,,297.1,316.4,522.8,537.1,15583947.0,53174633,16598244.0,56635558,0.0,0,1551526,5294026.0,102901.0,10290141.0,35111418,0.0,583.41,10.67,No,,Compliant,
61,2015,Multifamily LR (1-4),Low-Rise Multifamily,GATEWOOD APTS,107 PINE ST,98101.0,7,DOWNTOWN,47.60973588,-122.3403842,1900,1,4.0,48383,0,"Multifamily Housing, Retail Store",Multifamily Housing,38172.0,Retail Store,10211.0,,,,75.0,61.0,69.9,129.6,139.4,2953338.0,10077207,3379678.0,11531939,915977.0,3125443,424619,1448859.0,5886.0,588563.0,2008260,0.0,112.06,2.19,No,,Compliant,
62,2015,NonResidential,Hotel,ROOSEVELT HOTEL,1531 7TH AVE,98101.0,7,DOWNTOWN,47.61229324,-122.33441925,1930,1,20.0,98634,10043,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,,46.0,69.7,73.8,201.1,213.8,6175812.0,21072745,6534220.0,22295683,0.0,0,1589324,5422999.0,7530.0,753040.0,2569479,0.0,77.8,0.55,No,,Compliant,
63,2015,NonResidential,Hotel,SHERATON HOTEL,1400 6TH AVE,98101.0,7,DOWNTOWN,47.61101988,-122.3335344,1982,1,34.0,994212,146694,"Hotel, Parking, Swimming Pool",Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,,60.0,85.9,89.3,187.3,191.6,85357952.0,291253418,88771488.0,302900887,16229832.0,55378484,13200400,45041634.0,240884.0,24088353.0,82192871,0.0,2846.07,2.67,No,,Compliant,
65,2015,NonResidential,Hotel,INN AT THE MARKET,86 PINE ST,98101.0,7,DOWNTOWN,47.60989093,-122.3414255,1985,1,7.0,71150,0,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,,99.0,87.8,87.8,203.3,203.3,5040382.0,17198497,5040382.0,17198497,0.0,0,894784,3053131.0,19874.0,1987378.0,6781215,0.0,126.83,1.6,Yes,,Compliant,
66,2015,NonResidential,Hotel,MOORE HOTEL & THEATRE,1926 2ND AVE,98101.0,7,DOWNTOWN,47.61155254,-122.3408486,1908,1,7.0,122810,0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,,99.0,41.4,50.8,65.7,75.6,5086863.0,17357096,6240104.0,21292118,0.0,0,382671,1305729.0,37812.0,3781188.0,12901948,0.0,209.92,1.66,No,,Compliant,
67,2015,NonResidential,Hotel,QUALITY INN & SUITES - SEATTLE,618 JOHN ST,98109.0,7,LAKE UNION,47.62037281,-122.3441465,1959,1,5.0,113173,42546,,,,,,,,,86.0,70.6,73.1,166.6,174.3,4988241.0,17020584,5160438.0,17608145,0.0,0,915988,3125480.0,18629.0,1862890.0,6356444,0.0,120.73,0.95,No,,Compliant,
68,2015,NonResidential,Hotel,HOLIDAY INN - SEATTLE,211 DEXTER AVE N,98109.0,7,LAKE UNION,47.6203118,-122.3428044,2000,1,7.0,150453,34735,"Hotel, Restaurant",Hotel,107547.0,Restaurant,3000.0,,,2014,83.0,60.8,62.6,131.7,133.4,6722886.0,22939438,6921805.0,23618178,0.0,0,1051118,3586563.0,31365.0,3136472.0,10702086,0.0,191.58,1.17,No,,Compliant,
69,2015,NonResidential,Hotel,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,226 AURORA AVE N,98109.0,7,LAKE UNION,47.62021696,-122.3432115,1997,1,6.0,116300,28200,"Hotel, Parking",Hotel,88490.0,Parking,28300.0,,,,84.0,68.0,69.7,147.8,150.3,6014078.0,20520885,6169676.0,21051808,0.0,0,948984,3238067.0,27761.0,2776145.0,9472599,0.0,170.01,1.34,No,,Compliant,
70,2015,NonResidential,Hotel,HOMEWOOD SUITES HOTEL - SEATTLE,206 WESTERN AVE W,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62050588,-122.3596901,1998,1,6.0,155602,36744,Hotel,Hotel,155602.0,,,,,,81.0,44.4,44.1,108.0,106.8,6915293.0,23595958,6855303.0,23391264,0.0,0,1338290,4566435.0,23490.0,2349046.0,8015277,0.0,156.59,0.88,No,,Compliant,
73,2015,NonResidential,K-12 School,SEATTLE HEBREW ACADAMY,1617 INTERLAKEN DR E,98112.0,3,EAST,47.63445532,-122.3080163,1911,1,3.0,56072,0,K-12 School,K-12 School,56072.0,,,,,,77.0,55.4,72.3,78.7,98.6,3106930.0,10601285,4055974.0,13839557,0.0,0,161293,550355.0,25566.0,2556597.0,8723470,0.0,139.62,2.45,No,,Compliant,
77,2015,NonResidential,Hotel,COMFORT SUITES SEATTLE CENTER,601 ROY ST,98109.0,7,MAGNOLIA / QUEEN ANNE,47.62498256,-122.3445605,1999,1,4.0,122942,44891,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,,,,94.0,67.6,68.0,135.3,136.5,5276777.0,18005110,5306165.0,18105386,0.0,0,703564,2400660.0,28762.0,2876216.0,9814056,0.0,169.49,1.29,No,,Compliant,
82,2015,NonResidential,Small- and Mid-Sized Office,WA DEPT OF SOCIAL & HEALTH SERVICES,1700 E CHERRY ST,98122.0,3,CENTRAL,47.60841187,-122.3095441,1962,1,2.0,54984,0,Office,Office,54984.0,,,,,,65.0,63.7,71.3,149.8,157.8,3504957.0,11959409,3921971.0,13382320,0.0,0,639274,2181293.0,13238.0,1323754.0,4516836,0.0,85.51,1.38,No,,Compliant,
84,2015,NonResidential,Senior Care Community,PROVIDENCE MT ST VINCENT,4831 35TH AVE SW,98126.0,1,SOUTHWEST,47.55837362,-122.378518,1922,1,5.0,217603,0,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,,,,50.0,153.5,170.9,246.4,264.6,45494324.0,155233075,50629892.0,172756360,0.0,0,3540510,12080722.0,334141.0,33414103.0,114013650,0.0,1858.84,8.3,No,,Compliant,
85,2015,NonResidential,Senior Care Community,FOSS HOME AND VILLAGE,13023 GREENWOOD AVE N,98133.0,5,NORTHWEST,47.72389349,-122.3562998,1970,1,2.0,93397,0,Senior Care Community,Senior Care Community,93397.0,,,,,,1.0,175.3,180.8,313.8,320.7,16371764.0,55862777,16886622.0,57619545,0.0,0,1699219,5797976.0,105740.0,10574028.0,36080080,0.0,602.0,6.18,No,,Compliant,
